UF,ESTADO,GOVERNADOR,PARTIDO
AC,Acre,Gladson Cameli,PP
AL,Alagoas,Paulo Dantas,MDB
AM,Amazonas,Wilson Lima,UNIÃO
AP,Amapá,Clécio Luís,SOLIDARIEDADE
BA,Bahia,Jerônimo Rodrigues,PT
CE,Ceará,Elmano de Freitas,PT
DF,Distrito Federal,Ibaneis Rocha,MDB
ES,Espírito Santo,Renato Casagrande,PSB
GO,Goiás,Ronaldo Caiado,UNIÃO
MA,Maranhão,Carlos Brandão,PSB
MG,Minas Gerais,Romeu Zema,NOVO
MS,Mato Grosso do Sul,Eduardo Riedel,PSDB
MT,Mato Grosso,Mauro Mendes,UNIÃO
PA,Pará,Helder Barbalho,MDB
PB,Paraíba,João Azevêdo,PSB
PE,Pernambuco,Raquel Lyra,PSDB
PI,Piauí,Rafael Fonteles,PT
PR,Paraná,Ratinho Júnior,PSD
RJ,Rio de Janeiro,Cláudio Castro,PL
RN,Rio Grande do Norte,Fátima Bezerra,PT
RO,Rondônia,Coronel Marcos Rocha,UNIÃO
RR,Roraima,Antonio Denarium,PP
RS,Rio Grande do Sul,Eduardo Leite,PSDB
SC,Santa Catarina,Jorginho Mello,PL
SE,Sergipe,Fábio Mitidieri,PSD
SP,São Paulo,Tarcísio de Freitas,REPUBLICANOS
TO,Tocantins,Wanderlei Barbosa,REPUBLICANOS